"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Carrão";"2018";"4324";"4318";"4160";"4773";"5483";"5955";"6617";"6837";"6543";"6068";"5961";"5836";"5066";"4179";"3232";"5383";
"Casa Verde";"2014";"5616";"4654";"4964";"5574";"5970";"7364";"7652";"6998";"6006";"5640";"5632";"5203";"4311";"3345";"2568";"4432";
"Casa Verde";"2015";"5852";"4580";"4810";"5568";"5677";"7224";"7691";"7178";"6046";"5564";"5623";"5302";"4435";"3444";"2558";"4449";
"Casa Verde";"2016";"5740";"4793";"4745";"5411";"5688";"6910";"7568";"7234";"6215";"5616";"5565";"5308";"4535";"3555";"2645";"4478";
"Casa Verde";"2017";"5628";"5009";"4677";"5254";"5700";"6604";"7448";"7285";"6385";"5663";"5504";"5313";"4633";"3668";"2734";"4505";
"Casa Verde";"2018";"5514";"5232";"4605";"5101";"5704";"6305";"7311";"7343";"6558";"5709";"5440";"5316";"4732";"3784";"2825";"4530";
"Cidade Ademar";"2014";"21303";"18317";"19726";"22149";"22768";"25724";"25510";"23503";"20322";"17771";"15121";"13108";"10345";"7627";"5169";"6479";
"Cidade Ademar";"2015";"22016";"17992";"19099";"22257";"22095";"25545";"25651";"24008";"20644";"18187";"15302";"13500";"10724";"8022";"5362";"6666";
"Cidade Ademar";"2016";"21750";"18660";"18798";"21601";"22269";"24927";"25542";"24184";"21137";"18516";"15710";"13696";"11076";"8341";"5659";"6918";
"Cidade Ademar";"2017";"21473";"19341";"18495";"20956";"22437";"24298";"25417";"24349";"21635";"18844";"16119";"13886";"11438";"8670";"5972";"7173";
"Cidade Ademar";"2018";"21195";"20034";"18184";"20321";"22591";"23659";"25286";"24508";"22132";"19167";"16530";"14075";"11802";"9007";"6297";"7436";
"Cidade Dutra";"2014";"14235";"12644";"14195";"16113";"16208";"17813";"17646";"16461";"14688";"13452";"11811";"10321";"8165";"6067";"3910";"4703";
"Cidade Dutra";"2015";"14577";"12257";"13643";"16178";"15757";"17632";"17651";"16665";"14726";"13620";"11891";"10600";"8407";"6431";"4075";"4833";
"Cidade Dutra";"2016";"14383";"12632";"13291";"15636";"15926";"17296";"17578";"16748";"14989";"13727";"12113";"10731";"8686";"6657";"4350";"5041";
"Cidade Dutra";"2017";"14189";"13011";"12944";"15105";"16089";"16948";"17483";"16822";"15252";"13829";"12337";"10857";"8972";"6890";"4642";"5254";
"Cidade Dutra";"2018";"13988";"13390";"12595";"14586";"16246";"16592";"17386";"16891";"15510";"13926";"12555";"10980";"9264";"7127";"4950";"5476";
"Cidade Lider";"2014";"9168";"8359";"9258";"10369";"10709";"11730";"11917";"11007";"9726";"8672";"7762";"6850";"5445";"3947";"2517";"2788";
"Cidade Lider";"2015";"9369";"8165";"8989";"10412";"10518";"11600";"11995";"11200";"9872";"8780";"7830";"7041";"5652";"4191";"2658";"2883";
"Cidade Lider";"2016";"9280";"8371";"8798";"10135";"10591";"11461";"11904";"11306";"10070";"8931";"7953";"7120";"5824";"4365";"2833";"3028";
