Localidades,Localidades,SIGLA_DIST,zl,,Periodo,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,55a59,60a64,65a69,70a74,75Mais,cod ibge
Sao Mateus,Sao Mateus,SMT,ZL2,,2018,10766,10321,9610,11177,12532,12633,13366,12849,11520,10581,9753,8698,7202,5448,3880,4853,
Sao Miguel,Sao Miguel,SMI,ZL2,,2018,7147,6407,5353,6281,7203,7326,7541,6894,6229,5932,5661,5009,4057,3016,2253,3243,
Sao Rafael,Sao Rafael,SRA,ZL2,,2018,11049,11065,11669,13518,14236,13269,12905,12639,11968,10988,9510,7580,5795,4306,2998,3121,
Sapopemba,Sapopemba,SAP,Zona Sudeste,,2018,20016,19366,18485,21174,23597,24257,25260,23837,21230,19258,17827,15988,13271,10055,6978,8202,
Saude,Saude,SAU,,,2018,6384,6372,5588,5707,6416,7942,10836,12646,11519,9902,9501,9489,8905,7327,5596,9605,
Se,Se,SEE,,,2018,2213,1797,1261,1512,1719,2134,2686,2619,2440,2135,1612,1246,965,681,497,637,
Socorro,Socorro,SOC,,,2018,1990,1897,1715,1985,2215,2485,2893,3034,2802,2583,2484,2441,2177,1848,1495,2312,3552106
Tatuape,Tatuape,TAT,,,2018,4660,4544,4258,4919,5755,6570,7484,7805,7476,7116,7158,7014,6013,4729,3489,6374,
Tremembe,Tremembe,TRE,,,2018,16162,15081,13966,16292,18404,18322,18338,17673,16431,15103,13451,11558,9498,7140,4901,6254,883
Tucuruvi,Tucuruvi,TUC,,,2018,4907,4801,4468,4985,5830,6917,8204,8240,7325,6555,6500,6609,6219,5050,3767,6479,
Vila Andrade,Vila Andrade,VAN,,,2018,10558,10664,11140,12291,13205,13657,14510,14256,13376,11541,9523,7508,5485,3833,2536,2821,
Vila Curuca,Vila Curuca,VCR,ZL2,,2018,10793,10409,10358,12300,13795,13309,12989,12268,11213,10467,9182,7623,6073,4604,3246,3802,
Vila Formosa,Vila Formosa,VFO,,,2018,5034,4942,4792,5533,6446,7032,7746,7504,6785,6362,6497,6499,5730,4544,3378,5483,
Vila Guilherme,Vila Guilherme,VGL,,,2018,3735,3507,2958,3248,3526,3836,4586,4889,4526,3928,3604,3481,3147,2526,1899,3215,
Vila Jacui,Vila Jacui,VJA,ZL2,,2018,9231,9409,10013,11385,12750,12830,13052,12196,10843,9778,8929,7815,6299,4447,2864,3204,
Vila Leopoldina,Vila Leopoldina,VLE,,,2018,2339,2479,2363,2393,2651,2990,3616,4229,4398,3776,3191,2803,2191,1648,1174,1958,
Vila Maria,Vila Maria,VMR,,,2018,8276,7783,6908,7691,8488,9178,10226,9850,8495,7436,6784,6124,5168,3973,2885,4570,
Vila Mariana,Vila Mariana,VMN,,,2018,6094,5769,4889,4990,5883,8178,11875,13286,11204,9209,8922,9297,9010,7817,5828,9765,
Vila Matilde,Vila Matilde,VMT,,,2018,5958,5935,5732,6438,7375,8015,8782,8695,8002,7352,7093,6704,5897,4698,3472,5374,
Vila Medeiros,Vila Medeiros,VMD,,,2018,8219,7881,7087,7882,8957,9748,10848,10280,8914,8001,7677,7412,6593,5149,3856,5996,
Vila Prudente,Vila Prudente,VPR,Zona Sudeste,,2018,5689,5648,5286,5752,6664,7666,8975,9026,8078,7192,7084,6943,6096,4880,3693,5977,
Vila Sonia,Vila Sonia,VSO,,,2018,7978,7625,6788,7405,8263,9167,10347,10630,9695,8416,7496,6696,5837,4708,3456,4847,
