"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Mooca";"2014";"4414";"3675";"3612";"4102";"4994";"6209";"6718";"6544";"6010";"5735";"5533";"5065";"4151";"3213";"2615";"5457";
"Morumbi";"2014";"3393";"2655";"2923";"3246";"3312";"3808";"4122";"4167";"3866";"3649";"3358";"2934";"2464";"2002";"1499";"2296";
"Parelheiros";"2014";"12142";"10633";"12323";"14023";"13014";"12229";"11831";"11150";"10226";"9041";"7273";"5908";"4195";"2818";"1675";"1708";
"Pari";"2014";"1453";"1082";"1114";"1204";"1378";"1713";"1610";"1366";"1243";"1156";"1041";"885";"704";"624";"475";"1031";
"Parque do Carmo";"2014";"5191";"4769";"5295";"5741";"5715";"6295";"6371";"5820";"5167";"4573";"3877";"3410";"2701";"1979";"1249";"1566";
"Pedreira";"2014";"11157";"10896";"11862";"13451";"13351";"14112";"13717";"12756";"11277";"10062";"8269";"6928";"5091";"3491";"2166";"2499";3537107
"Penha";"2014";"7591";"6646";"7182";"8139";"8965";"10710";"11041";"10091";"9234";"9087";"8836";"7945";"6588";"5291";"4031";"7212";
"Perdizes";"2014";"5221";"4754";"4711";"4992";"6376";"9407";"11005";"10294";"8344";"7780";"8038";"8007";"7125";"5678";"3905";"7452";
"Perus";"2014";"7044";"6022";"6794";"7738";"7442";"7585";"7048";"6810";"6313";"5664";"4557";"3620";"2688";"1886";"1188";"1425";
"Pinheiros";"2014";"3066";"2576";"2439";"2627";"3243";"5012";"6701";"6215";"5023";"4632";"4681";"4450";"4020";"3223";"2543";"5285";
"Pirituba";"2014";"11175";"9958";"10624";"12064";"12624";"14515";"15082";"13881";"12332";"11875";"11223";"9945";"7877";"5843";"4176";"6182";
"Ponte Rasa";"2014";"5717";"5326";"5868";"6811";"6942";"7946";"8000";"7078";"6437";"6356";"6103";"5596";"4397";"3340";"2480";"3685";
"Raposo Tavares";"2014";"8224";"6912";"7683";"8112";"8215";"9063";"9777";"9225";"7820";"6697";"5633";"4910";"4012";"2952";"1903";"2066";
"República";"2014";"3432";"2371";"2197";"2485";"3575";"6283";"7021";"6023";"5061";"4466";"3952";"3489";"2840";"2191";"1573";"2462";
"Rio Pequeno";"2014";"9612";"7138";"7748";"8449";"8897";"10785";"11367";"10348";"8970";"8291";"7486";"6427";"5001";"3750";"2637";"3847";
"Sacomã";"2014";"16592";"15610";"16675";"18396";"19462";"22694";"24032";"21925";"19195";"17533";"16074";"13786";"10739";"7784";"5627";"8604";
"Santa Cecília";"2014";"4701";"3541";"3459";"3989";"5253";"8009";"9052";"7923";"6682";"6209";"5831";"5390";"4598";"3629";"2723";"5143";
"Santana";"2014";"6058";"4838";"5158";"6199";"7301";"9585";"10245";"9174";"8176";"8203";"8599";"8262";"7066";"5410";"4037";"7959";
"Santo Amaro";"2014";"3677";"3352";"3477";"3805";"4238";"5142";"5929";"6085";"5725";"5368";"5371";"4936";"4373";"3687";"2918";"5141";
"São Domingos";"2014";"5426";"5141";"5500";"6113";"6382";"7301";"7585";"6982";"6347";"6101";"5580";"4825";"3849";"3037";"2233";"3097";
"São Lucas";"2014";"8179";"8015";"8419";"9356";"10238";"12124";"12511";"11380";"10278";"10022";"10018";"8569";"7044";"5509";"4268";"6896";
"São Mateus";"2014";"11078";"9758";"10954";"12615";"12513";"13783";"13719";"12284";"11268";"10479";"9505";"8164";"6345";"4747";"3354";"4363";
"São Miguel";"2014";"7220";"5539";"6202";"7331";"7372";"8015";"7487";"6745";"6375";"6212";"5610";"4737";"3595";"2765";"2158";"3151";
"São Rafael";"2014";"11105";"11325";"12962";"14118";"13282";"13088";"12878";"12272";"11380";"10083";"8206";"6385";"4881";"3572";"2389";"2489";
"Sapopemba";"2014";"20564";"18718";"20808";"23507";"23934";"26122";"25357";"22657";"20452";"19046";"17412";"14953";"11694";"8566";"5809";"7175";
"Saúde";"2014";"6597";"5590";"5469";"6014";"7273";"10305";"12700";"12010";"10057";"9539";"9586";"9371";"7974";"6269";"4827";"9038";
"Sé";"2014";"2089";"1219";"1452";"1613";"1899";"2664";"2703";"2503";"2300";"1758";"1344";"1092";"781";"587";"433";"567";
"Socorro";"2014";"2055";"1716";"1963";"2160";"2399";"2893";"3190";"2950";"2735";"2575";"2619";"2381";"2084";"1733";"1408";"2169";3552106
"Tatuapé";"2014";"4679";"4104";"4576";"5271";"6063";"7270";"7792";"7544";"7137";"7110";"7277";"6408";"5239";"3961";"3117";"6233";
"Tremembé";"2014";"15661";"13536";"15184";"17554";"17670";"18326";"17951";"16737";"15519";"14025";"12225";"10370";"8106";"5840";"4012";"5627";883
"Tucuruvi";"2014";"5048";"4489";"4828";"5549";"6462";"8196";"8571";"7756";"6784";"6663";"6853";"6721";"5705";"4373";"3425";"6347";
"Vila Andrade";"2014";"10345";"10593";"11103";"11761";"11958";"13734";"13793";"13331";"11706";"9739";"7879";"5907";"4190";"2901";"1849";"2219";
"Vila Curuçá";"2014";"10943";"10379";"11979";"13790";"13378";"13388";"13036";"11784";"11161";"9970";"8407";"6857";"5348";"3978";"2731";"3341";
"Vila Formosa";"2014";"5149";"4792";"5308";"6240";"6696";"7805";"7836";"7115";"6545";"6638";"6850";"6268";"5137";"3955";"3012";"5300";
"Vila Guilherme";"2014";"3741";"2910";"3113";"3431";"3638";"4523";"4949";"4702";"4071";"3674";"3593";"3387";"2812";"2192";"1702";"3148";
"Vila Jacuí";"2014";"9598";"10146";"11106";"12689";"12665";"13486";"12925";"11546";"10345";"9558";"8497";"7144";"5248";"3532";"2282";"2788";
"Vila Leopoldina";"2014";"2455";"2333";"2205";"2377";"2651";"3369";"4035";"4406";"3914";"3195";"2938";"2332";"1805";"1325";"979";"1837";
"Vila Maria";"2014";"8445";"7045";"7639";"8425";"8945";"10480";"10552";"9163";"7943";"7264";"6646";"5810";"4593";"3474";"2593";"4508";
"Vila Mariana";"2014";"6034";"4891";"4779";"5379";"7320";"11302";"13583";"11801";"9403";"8831";"9387";"9348";"8484";"6677";"4765";"9452";
"Vila Matilde";"2014";"6160";"5745";"6204";"7111";"7632";"8804";"9006";"8392";"7627";"7373";"7114";"6442";"5357";"4081";"3133";"5151";
"Vila Medeiros";"2014";"8563";"7348";"7840";"8979";"9606";"11305";"11121";"9701";"8573";"8217";"8010";"7483";"5975";"4678";"3529";"5923";
"Vila Prudente";"2014";"5870";"5340";"5532";"6366";"7130";"8932";"9332";"8534";"7436";"7255";"7314";"6648";"5485";"4297";"3324";"5715";
"Vila Sônia";"2014";"7940";"6637";"6981";"7681";"8529";"10113";"10689";"9985";"8616";"7708";"6924";"6213";"5167";"3994";"2827";"4373";
